INFY_Q4_April_22_1 | Moderator
INFY_Q4_April_22_2 | As a reminder, all participant lines will be in the listen-only mode and there will an
INFY_Q4_April_22_3 | opportunity for you to ask questions after the presentation concludes.
INFY_Q4_April_22_4 | Should you need
INFY_Q4_April_22_5 | assistance during the conference call, please signal an operator by pressing “*” then “0”
INFY_Q4_April_22_6 | on your touchtone phone.
INFY_Q4_April_22_7 | Please note that this conference is being recorded.
INFY_Q4_April_22_8 | I now hand
INFY_Q4_April_22_9 | the conference over to Mr. Sandeep Mahindroo.
INFY_Q4_April_22_10 | Thank you and over to you Sir!
INFY_Q4_April_22_11 | Sandeep Mahindroo
INFY_Q4_April_22_12 | Hello, everyone, and welcome to the earnings call to discuss Q4 FY2022 earnings
INFY_Q4_April_22_13 | release.
INFY_Q4_April_22_14 | I am Sandeep from the Investor Relations team in Bangalore.
INFY_Q4_April_22_15 | Joining us today on
INFY_Q4_April_22_16 | this earnings call is CEO and MD, Mr. Salil Parekh; CFO, Mr. Nilanjan Roy; along with
INFY_Q4_April_22_17 | other members of the senior management team.
INFY_Q4_April_22_18 | We will start the call with some remarks
INFY_Q4_April_22_19 | on the performance of the company by Salil and Nilanjan.
INFY_Q4_April_22_20 | Subsequent to which we will
INFY_Q4_April_22_21 | open the call for questions.
INFY_Q4_April_22_22 | Please note that anything that we say, which refers to our outlook for the future is a
INFY_Q4_April_22_23 | forward-looking statement, which must be read in conjunction with the risk that the
INFY_Q4_April_22_24 | company faces.
INFY_Q4_April_22_25 | A full statement and explanation of these risks is available in our filings
INFY_Q4_April_22_26 | with the SEC, which can be found on www.sec.gov.
INFY_Q4_April_22_27 | I would now like to turn it over to Salil.
INFY_Q4_April_22_28 | Salil Parekh
INFY_Q4_April_22_29 | Thanks, Sandeep.
INFY_Q4_April_22_30 | Good morning, good afternoon, and good evening to everyone joining
INFY_Q4_April_22_31 | on the call.
INFY_Q4_April_22_32 | Thank you for taking the time to join us today.
INFY_Q4_April_22_33 | We have had an exceptional year with an annual growth of 19.7% in constant currency
INFY_Q4_April_22_34 | terms, which is the fastest growth we have seen in 11 years.
INFY_Q4_April_22_35 | We are gaining market
INFY_Q4_April_22_36 | share.
INFY_Q4_April_22_37 | We are building on our leadership in cloud and digital, and we are a part of more
INFY_Q4_April_22_38 | and more programs that our clients are looking at in digital transformation.
INFY_Q4_April_22_39 | Growth was broad-based across business segments, service lines and geographies.
INFY_Q4_April_22_40 | Each
INFY_Q4_April_22_41 | of our business segments grew in double digits.
INFY_Q4_April_22_42 | The top 3 grew in high teens, U.S. and
INFY_Q4_April_22_43 | Europe grew over 20%.
INFY_Q4_April_22_44 | The North America region crossed $10 bn in revenue, while
INFY_Q4_April_22_45 | Financial Services crossed $5 bn revenue milestones.
INFY_Q4_April_22_46 | Our digital revenues now account for 59.2% and grew at 41.2% for the year.
INFY_Q4_April_22_47 | Our digital
INFY_Q4_April_22_48 | revenues crossed $10 bn annualized on a run-rate basis.
INFY_Q4_April_22_49 | Within digital, our cloud work is
INFY_Q4_April_22_50 | growing faster, and our Cobalt Cloud capabilities have seen significant traction with our
INFY_Q4_April_22_51 | clients.
INFY_Q4_April_22_52 | Our growth has been accompanied by robust operating margins of 23.0%.
INFY_Q4_April_22_53 | We delivered
INFY_Q4_April_22_54 | these margins while maintaining focus on our employees with increased compensation
INFY_Q4_April_22_55 | and benefits.
INFY_Q4_April_22_56 | Our large deal wins were at $9.5 bn for the full year and were $2.3 bn for Q4.
INFY_Q4_April_22_57 | Our net new
INFY_Q4_April_22_58 | percentage was 40% for the year and 48% for Q4, helping us set up a strong growth
INFY_Q4_April_22_59 | foundation for financial year 2023.
INFY_Q4_April_22_60 | Our Q4 revenue growth was 20.6% YoY and 1.2% QoQ in constant currency terms.
INFY_Q4_April_22_61 | Our
INFY_Q4_April_22_62 | industry-leading performance in FY2022 would not have been possible without the
INFY_Q4_April_22_63 | relentless commitment from our employees.
INFY_Q4_April_22_64 | I am extremely proud as well as grateful for
INFY_Q4_April_22_65 | the extraordinary efforts in delivering success for our clients.
INFY_Q4_April_22_66 | Our last 12 months' attrition increased to 27.7%.
INFY_Q4_April_22_67 | Our quarterly annualized attrition
INFY_Q4_April_22_68 | declined by approximately 5 percentage points on a sequential basis.
INFY_Q4_April_22_69 | We recruited 85,000 college graduates in this financial year.
INFY_Q4_April_22_70 | In the fourth quarter, we had
INFY_Q4_April_22_71 | a net addition of 22,000 employees.
INFY_Q4_April_22_72 | We have an overall strong recruitment program.
INFY_Q4_April_22_73 | This
INFY_Q4_April_22_74 | is a reflection of our enhanced recruitment capabilities, solid brand and deep penetration
INFY_Q4_April_22_75 | into various talent markets.
INFY_Q4_April_22_76 | This increases our comfort to support clients in their digital
INFY_Q4_April_22_77 | transformation agenda as we look ahead.
INFY_Q4_April_22_78 | We have initiated our compensation review exercise for this financial year.
INFY_Q4_April_22_79 | We have
INFY_Q4_April_22_80 | planned this exercise so that we can focus on employee segments that need greater
INFY_Q4_April_22_81 | attention while also covering a broader group with regular increases.
INFY_Q4_April_22_82 | As in the past, we
INFY_Q4_April_22_83 | will look at individual performance, skills and market benchmarks while determining
INFY_Q4_April_22_84 | individual compensation increases.
INFY_Q4_April_22_85 | We will focus on accelerated career growth, targeted
INFY_Q4_April_22_86 | development and opportunity to work on cutting-edge digital innovation globally.
INFY_Q4_April_22_87 | Our strategy launched 4 years ago has served us well.
INFY_Q4_April_22_88 | We have delivered industry-
INFY_Q4_April_22_89 | leading growth and industry-leading TSR.
INFY_Q4_April_22_90 | Looking ahead to the next phase to further enhance our leadership on the digital
INFY_Q4_April_22_91 | innovation curve, we plan to expand our capabilities in scaling our cloud business,
INFY_Q4_April_22_92 | expanding digital capability, expanding on our automation work and increasing relevance
INFY_Q4_April_22_93 | with our large clients and tech natives and also strengthen our employee value
INFY_Q4_April_22_94 | proposition.
INFY_Q4_April_22_95 | Our focus on staying ahead in the cloud and digital ecosystem, the focus on
INFY_Q4_April_22_96 | our employees and the costs give us strong confidence for the future.
INFY_Q4_April_22_97 | Our sustained momentum in FY2022, large deal wins, robust deal pipeline and client
INFY_Q4_April_22_98 | confidence give us comfort to guide for 13% to 15% growth in FY2023 in constant
INFY_Q4_April_22_99 | currency.
INFY_Q4_April_22_100 | As we look ahead – as we build our new strategy, that is looking at cloud and the digital
INFY_Q4_April_22_101 | ecosystem, our focus on employees and the costs related to the post-COVID work
INFY_Q4_April_22_102 | environment, result in our operating margin guidance to be at 21% to 23% for FY2023.
INFY_Q4_April_22_103 | In terms of our business segment performance, let me go through the highlights by
INFY_Q4_April_22_104 | segment.
INFY_Q4_April_22_105 | Financial Services segment grew at 14.1% in constant currency, with 8 large deal wins
INFY_Q4_April_22_106 | during the quarter and 27 large deal wins in FY2022.
INFY_Q4_April_22_107 | Our US business continues to lead
INFY_Q4_April_22_108 | the growth as we work on large transformation programs.
INFY_Q4_April_22_109 | Our overall large deal pipeline in
INFY_Q4_April_22_110 | Financial Services is healthy across the regions.
INFY_Q4_April_22_111 | Retail segment growth was at 16.5% in constant currency.
INFY_Q4_April_22_112 | As clients focus on digital and
INFY_Q4_April_22_113 | cost takeout programs.
INFY_Q4_April_22_114 | We are seeing integrated outsourcing deals and transformation
INFY_Q4_April_22_115 | programs in the areas of e-commerce, revenue growth management, supply chain,
INFY_Q4_April_22_116 | product life cycle management.
INFY_Q4_April_22_117 | We won 16 large deals from the segment in the last year
INFY_Q4_April_22_118 | and continue to have a healthy deal pipeline.
INFY_Q4_April_22_119 | The Communications vertical grew strongly at 29.2% in constant currency.
INFY_Q4_April_22_120 | We see
INFY_Q4_April_22_121 | customer experience, IT and network simplification, lean and automated zero-touch
INFY_Q4_April_22_122 | operations, time to market and integrated data for digital enterprise as the key themes for
INFY_Q4_April_22_123 | clients in this segment.
INFY_Q4_April_22_124 | Energy, Utilities, Resources and Services segment growth increased further to 17.8% in
INFY_Q4_April_22_125 | constant currency.
INFY_Q4_April_22_126 | We see continued and increased emphasis on digital transformation,
INFY_Q4_April_22_127 | especially around customer experience, operational efficiency and associated legacy
INFY_Q4_April_22_128 | transformation.
INFY_Q4_April_22_129 | We won 4 large deals in the last quarter and 18 large deals in FY2022
INFY_Q4_April_22_130 | from this segment.
INFY_Q4_April_22_131 | Growth in Manufacturing segment increased to over 50% in constant currency.
INFY_Q4_April_22_132 | There
INFY_Q4_April_22_133 | were 6 large deal wins in this segment in the last quarter and 13 wins for the last year.
INFY_Q4_April_22_134 | We
