INFY_Q1_July_22_1 | Moderator
INFY_Q1_July_22_2 | reminder all participant lines will be in the listen-only mode.
INFY_Q1_July_22_3 | There will be an opportunity for you to
INFY_Q1_July_22_4 | ask questions after the presentation concludes.
INFY_Q1_July_22_5 | Should you need assistance during the conference
INFY_Q1_July_22_6 | call, please signal an  operator by pressing “*” and then “0” on your touchtone telephone.
INFY_Q1_July_22_7 | Please
INFY_Q1_July_22_8 | note that this conference is  being recorded.
INFY_Q1_July_22_9 | I now hand the conference over to Mr. Sandeep
INFY_Q1_July_22_10 | Mahindroo.
INFY_Q1_July_22_11 | Thank you and over to you, Sir.
INFY_Q1_July_22_12 | Sandeep Mahindroo
INFY_Q1_July_22_13 | Thanks Inba.
INFY_Q1_July_22_14 | Hello everyone and welcome to Infosys Earnings Call to discuss Q1 2023 Financial Results.
INFY_Q1_July_22_15 | This
INFY_Q1_July_22_16 | is Sandeep from the Investor Relations team in Bangalore.
INFY_Q1_July_22_17 | Joining us today on this call is CEO
INFY_Q1_July_22_18 | and MD, Mr. Salil Parekh; CFO, Mr. Nilanjan Roy; and other members of the senior management
INFY_Q1_July_22_19 | team.
INFY_Q1_July_22_20 | We will commence the call with some remarks on the performance of the company by Salil
INFY_Q1_July_22_21 | and Nilanjan.
INFY_Q1_July_22_22 | Subsequent to which, we will open up the call for questions.
INFY_Q1_July_22_23 | Please note that anything that we say that refers to our outlook for the future is a forward-looking
INFY_Q1_July_22_24 | statement that must be read in conjunction with the risks that the company faces.
INFY_Q1_July_22_25 | A full statement
INFY_Q1_July_22_26 | and explanation of these risks is available in our filings with the SEC, which can be found on
INFY_Q1_July_22_27 | www.sec.gov.
INFY_Q1_July_22_28 | I would now like to pass on the call to Salil.
INFY_Q1_July_22_29 | Salil Parekh
INFY_Q1_July_22_30 | Thanks, Sandeep.
INFY_Q1_July_22_31 | Good morning and good evening to everyone on the call.
INFY_Q1_July_22_32 | Thank you all for
INFY_Q1_July_22_33 | taking the time to join us.
INFY_Q1_July_22_34 | We had an excellent start to the financial year with 5.5% sequential growth and 21.4% year-on-
INFY_Q1_July_22_35 | year growth in constant currency terms.
INFY_Q1_July_22_36 | We continue to gain market share with our Cobalt cloud capabilities and our differentiated digital
INFY_Q1_July_22_37 | value proposition driving a significant pipeline of opportunities for us.
INFY_Q1_July_22_38 | For example a premier online retailer in the U.S. leveraged Infosys Cobalt to embark on a cloud-
INFY_Q1_July_22_39 | driven transformation journey to enhance the customer experience and improve their security
INFY_Q1_July_22_40 | posture.
INFY_Q1_July_22_41 | Another example is European manufacturer who is reimagining their Digital workplace with best-
INFY_Q1_July_22_42 | of-breed network security and IT infrastructure powered by Infosys Cobalt.
INFY_Q1_July_22_43 | There are examples like this all across the spectrum in different sectors and that are driving
INFY_Q1_July_22_44 | Infosys Cobalt into the market.
INFY_Q1_July_22_45 | Clients continue to place an immense amount of trust and confidence in Infosys to help accelerate
INFY_Q1_July_22_46 | their digital transformation agenda, both on efficiency and the growth dimension of their business.
INFY_Q1_July_22_47 | The strong growth we have seen in the quarter lays a robust foundation for the year.
INFY_Q1_July_22_48 | Growth continues to remain broad-based across the segments, service lines and geographies.
INFY_Q1_July_22_49 | Each of our business segments grew in double-digits with several of them growing at 25% or
INFY_Q1_July_22_50 | higher.
INFY_Q1_July_22_51 | In terms of geography the U.S. geography grew at 18.4% and Europe grew at 33.2%.
INFY_Q1_July_22_52 | This
INFY_Q1_July_22_53 | indicates a healthy demand environment and is a reflection of how our industry-leading digital
INFY_Q1_July_22_54 | capabilities are relevant for our clients.
INFY_Q1_July_22_55 | Our Digital revenues were 61% of the total and grew at 37.5% in the quarter in constant currency
