index,sentence,label,score
1,"Sandeep Mahindroo Hello, everyone, and welcome to the earnings call to discuss Q4 FY2022 earnings release.",POSITIVE,0.8980132
2,I am Sandeep from the Investor Relations team in Bangalore.,POSITIVE,0.92480975
3,"Joining us today on this earnings call is CEO and MD, Mr. Salil Parekh; CFO, Mr. Nilanjan Roy; along with other members of the senior management team.",POSITIVE,0.93888974
4,We will start the call with some remarks on the performance of the company by Salil and Nilanjan.,POSITIVE,0.9326528
5,Subsequent to which we will open the call for questions.,POSITIVE,0.94933134
6,"Please note that anything that we say, which refers to our outlook for the future is a forward-looking statement, which must be read in conjunction with the risk that the company faces.",POSITIVE,0.9311789
7,"A full statement and explanation of these risks is available in our filings with the SEC, which can be found on www.sec.gov.",POSITIVE,0.95037216
8,I would now like to turn it over to Salil.,POSITIVE,0.9396199
9,"Salil Parekh Thanks, Sandeep.",NEGATIVE,0.5929544
10,"Good morning, good afternoon, and good evening to everyone joining on the call.",POSITIVE,0.74140686
11,Thank you for taking the time to join us today.,NEGATIVE,0.50522894
12,"We have had an exceptional year with an annual growth of 19.7% in constant currency terms, which is the fastest growth we have seen in 11 years.",NEGATIVE,0.95069313
13,We are gaining market share.,NEGATIVE,0.9166965
14,"We are building on our leadership in cloud and digital, and we are a part of more and more programs that our clients are looking at in digital transformation.",POSITIVE,0.55971974
15,"Growth was broad-based across business segments, service lines and geographies.",POSITIVE,0.71158004
16,Each of our business segments grew in double digits.,NEGATIVE,0.6173777
17,"The top 3 grew in high teens, U.S. and Europe grew over 20%.",NEGATIVE,0.7486253
18,"The North America region crossed $10 bn in revenue, while Financial Services crossed $5 bn revenue milestones.",NEGATIVE,0.9437101
19,Our digital revenues now account for 59.2% and grew at 41.2% for the year.,NEGATIVE,0.8326451
20,Our digital revenues crossed $10 bn annualized on a run-rate basis.,NEGATIVE,0.5214669
21,"Within digital, our cloud work is growing faster, and our Cobalt Cloud capabilities have seen significant traction with our clients.",NEGATIVE,0.94622153
22,Our growth has been accompanied by robust operating margins of 23.0%.,NEGATIVE,0.9561161
23,We delivered these margins while maintaining focus on our employees with increased compensation and benefits.,NEGATIVE,0.92910105
24,Our large deal wins were at $9.5 bn for the full year and were $2.3 bn for Q4.,POSITIVE,0.4753804
25,"Our net new percentage was 40% for the year and 48% for Q4, helping us set up a strong growth foundation for financial year 2023.",NEGATIVE,0.92336696
26,Our Q4 revenue growth was 20.6% YoY and 1.2% QoQ in constant currency terms.,NEGATIVE,0.7617143
27,Our industry-leading performance in FY2022 would not have been possible without the relentless commitment from our employees.,NEGATIVE,0.9463334
28,I am extremely proud as well as grateful for the extraordinary efforts in delivering success for our clients.,NEGATIVE,0.8376051
29,Our last 12 months' attrition increased to 27.7%.,NEGATIVE,0.9389001
30,Our quarterly annualized attrition declined by approximately 5 percentage points on a sequential basis.,NEUTRAL,0.9679969
31,"We recruited 85,000 college graduates in this financial year.",POSITIVE,0.53150564
32,"In the fourth quarter, we had a net addition of 22,000 employees.",NEGATIVE,0.55243564
33,We have an overall strong recruitment program.,NEGATIVE,0.89338577
34,"This is a reflection of our enhanced recruitment capabilities, solid brand and deep penetration into various talent markets.",NEGATIVE,0.7992356
35,This increases our comfort to support clients in their digital transformation agenda as we look ahead.,NEGATIVE,0.9081748
36,We have initiated our compensation review exercise for this financial year.,POSITIVE,0.88242775
37,We have planned this exercise so that we can focus on employee segments that need greater attention while also covering a broader group with regular increases.,POSITIVE,0.59901935
38,"As in the past, we will look at individual performance, skills and market benchmarks while determining individual compensation increases.",POSITIVE,0.8775759
39,"We will focus on accelerated career growth, targeted development and opportunity to work on cutting-edge digital innovation globally.",NEGATIVE,0.8641195
40,Our strategy launched 4 years ago has served us well.,NEGATIVE,0.8340352
41,We have delivered industry- leading growth and industry-leading TSR.,NEGATIVE,0.87494797
42,"Looking ahead to the next phase to further enhance our leadership on the digital innovation curve, we plan to expand our capabilities in scaling our cloud business, expanding digital capability, expanding on our automation work and increasing relevance with our large clients and tech natives and also strengthen our employee value proposition.",NEGATIVE,0.94408536
43,"Our focus on staying ahead in the cloud and digital ecosystem, the focus on our employees and the costs give us strong confidence for the future.",NEGATIVE,0.8391912
