index,sentence,label,score
1,Moderator,POSITIVE,0.87275183
2,"reminder, all participant lines will be in the listen-only mode, and there will an opportunity for you to",POSITIVE,0.90236086
3,ask questions after the presentation concludes.,POSITIVE,0.92514145
4,Should you need assistance during the conference,POSITIVE,0.9222135
5,"call, please signal an operator by pressing “*” then “0” on your touchtone phone.",POSITIVE,0.93611383
6,Please note that,POSITIVE,0.92454433
7,this conference is being recorded.,POSITIVE,0.9400921
8,I now hand the conference over to Mr. Sandeep Mahindroo.,POSITIVE,0.9430856
9,Thank you and over to you Sir!,POSITIVE,0.63561
10,Sandeep Mahindroo,POSITIVE,0.8899787
11,Thanks Margreth.,POSITIVE,0.76125616
12,Hello everyone and welcome to Infosys Earnings Call to discuss Q2 FY22,POSITIVE,0.9120804
13,Earnings Release.,POSITIVE,0.85159576
14,I am Sandeep from the investor relations team in Bengaluru.,POSITIVE,0.9209335
15,"Joining us today on this call is CEO and MD, Mr. Salil Parekh; COO, Mr. Pravin Rao; CFO, Mr.",POSITIVE,0.9368332
16,"Nilanjan Roy, along with other members of the senior management team.",POSITIVE,0.9398892
17,"We will start the call with some color on the performance of the company by Salil, Pravin and",POSITIVE,0.9129919
18,"Nilanjan, before we open the call for questions.",POSITIVE,0.94167006
19,"Please note that anything which we say, that refers to our outlook for the future, is a forward-",POSITIVE,0.9228937
20,"looking statement, which must be read in conjunction with the risk that the company faces.",POSITIVE,0.95147663
21,A,POSITIVE,0.8894127
22,"complete statement and explanation of these risks is available in our filings with the SEC, which",POSITIVE,0.95115525
23,can be found on www.sec.gov.,POSITIVE,0.9493937
24,I would now like to pass it on to Salil.,POSITIVE,0.9263678
25,Salil Parekh,POSITIVE,0.8668303
26,"Thanks, Sandeep.",POSITIVE,0.55510557
27,of you and your families are safe and healthy.,POSITIVE,0.8114051
28,I am delighted to share with you that we had another exceptional quarter with increased market,NEGATIVE,0.91842747
29,share gain and demonstrating more and more trust that our clients are placing with us and the,NEGATIVE,0.92572635
