index,sentence,neg,neu,pos,compound
1,"Sandeep Mahindroo Hello, everyone, and welcome to the earnings call to discuss Q4 FY2022 earnings release.",0.0,0.833,0.167,0.4588
2,I am Sandeep from the Investor Relations team in Bangalore.,0.0,1.0,0.0,0.0
3,"Joining us today on this earnings call is CEO and MD, Mr. Salil Parekh; CFO, Mr. Nilanjan Roy; along with other members of the senior management team.",0.0,1.0,0.0,0.0
4,We will start the call with some remarks on the performance of the company by Salil and Nilanjan.,0.0,1.0,0.0,0.0
5,Subsequent to which we will open the call for questions.,0.0,1.0,0.0,0.0
6,"Please note that anything that we say, which refers to our outlook for the future is a forward-looking statement, which must be read in conjunction with the risk that the company faces.",0.061,0.872,0.067,0.0516
7,"A full statement and explanation of these risks is available in our filings with the SEC, which can be found on www.sec.gov.",0.091,0.909,0.0,-0.2732
8,I would now like to turn it over to Salil.,0.0,0.783,0.217,0.3612
9,"Salil Parekh Thanks, Sandeep.",0.0,0.508,0.492,0.4404
10,"Good morning, good afternoon, and good evening to everyone joining on the call.",0.0,0.535,0.465,0.8271
11,Thank you for taking the time to join us today.,0.0,0.63,0.37,0.5719
12,"We have had an exceptional year with an annual growth of 19.7% in constant currency terms, which is the fastest growth we have seen in 11 years.",0.0,0.828,0.172,0.6369
13,We are gaining market share.,0.0,0.375,0.625,0.6124
14,"We are building on our leadership in cloud and digital, and we are a part of more and more programs that our clients are looking at in digital transformation.",0.0,1.0,0.0,0.0
15,"Growth was broad-based across business segments, service lines and geographies.",0.0,0.776,0.224,0.3818
16,Each of our business segments grew in double digits.,0.0,1.0,0.0,0.0
17,"The top 3 grew in high teens, U.S. and Europe grew over 20%.",0.0,0.87,0.13,0.2023
18,"The North America region crossed $10 bn in revenue, while Financial Services crossed $5 bn revenue milestones.",0.0,1.0,0.0,0.0
19,Our digital revenues now account for 59.2% and grew at 41.2% for the year.,0.0,1.0,0.0,0.0
20,Our digital revenues crossed $10 bn annualized on a run-rate basis.,0.0,1.0,0.0,0.0
21,"Within digital, our cloud work is growing faster, and our Cobalt Cloud capabilities have seen significant traction with our clients.",0.0,0.837,0.163,0.3612
22,Our growth has been accompanied by robust operating margins of 23.0%.,0.0,0.643,0.357,0.6124
23,We delivered these margins while maintaining focus on our employees with increased compensation and benefits.,0.0,0.734,0.266,0.5719
24,Our large deal wins were at $9.5 bn for the full year and were $2.3 bn for Q4.,0.0,0.821,0.179,0.5719
25,"Our net new percentage was 40% for the year and 48% for Q4, helping us set up a strong growth foundation for financial year 2023.",0.0,0.731,0.269,0.7964
26,Our Q4 revenue growth was 20.6% YoY and 1.2% QoQ in constant currency terms.,0.0,0.833,0.167,0.3818
27,Our industry-leading performance in FY2022 would not have been possible without the relentless commitment from our employees.,0.182,0.818,0.0,-0.3252
28,I am extremely proud as well as grateful for the extraordinary efforts in delivering success for our clients.,0.0,0.529,0.471,0.9092
29,Our last 12 months' attrition increased to 27.7%.,0.0,0.769,0.231,0.2732
30,Our quarterly annualized attrition declined by approximately 5 percentage points on a sequential basis.,0.0,1.0,0.0,0.0
31,"We recruited 85,000 college graduates in this financial year.",0.0,1.0,0.0,0.0
