index,sentence,neg,neu,pos,compound
1,Sandeep Mahindroo Thanks Margreth.,0.0,0.508,0.492,0.4404
2,Hello everyone and welcome to Infosys Earnings Call to discuss Q2 FY22 Earnings Release.,0.0,0.812,0.188,0.4588
3,I am Sandeep from the investor relations team in Bengaluru.,0.0,1.0,0.0,0.0
4,"Joining us today on this call is CEO and MD, Mr. Salil Parekh; COO, Mr. Pravin Rao; CFO, Mr. Nilanjan Roy, along with other members of the senior management team.",0.0,1.0,0.0,0.0
5,"We will start the call with some color on the performance of the company by Salil, Pravin and Nilanjan, before we open the call for questions.",0.0,1.0,0.0,0.0
6,"Please note that anything which we say, that refers to our outlook for the future, is a forward- looking statement, which must be read in conjunction with the risk that the company faces.",0.059,0.876,0.065,0.0516
7,"A complete statement and explanation of these risks is available in our filings with the SEC, which can be found on www.sec.gov.",0.091,0.909,0.0,-0.2732
8,I would now like to pass it on to Salil.,0.0,0.783,0.217,0.3612
9,"Salil Parekh Thanks, Sandeep.",0.0,0.508,0.492,0.4404
10,of you and your families are safe and healthy.,0.0,0.556,0.444,0.6808
11,I am delighted to share with you that we had another exceptional quarter with increased market share gain and demonstrating more and more trust that our clients are placing with us and the strength of our digital and cloud capabilities.,0.0,0.617,0.383,0.9613
12,Our growth was 19.4% YoY and 6.3% QoQ in constant currency terms.,0.0,0.809,0.191,0.3818
13,"I would like to thank the entire 280,000 employees of Infosys for their incredible dedication and world class skills that made the work we do for our clients so impactful.",0.0,0.848,0.152,0.6124
14,Our YoY growth was the fastest we have seen in 11 years and built on the quarter that was a growth quarter this time last year.,0.0,0.822,0.178,0.6369
15,Our growth has been accompanied by resilient operating margins at 23.6%.,0.0,0.794,0.206,0.3818
16,We delivered these margins while we kept in the forefront our focus on employees with increased compensation and benefits.,0.0,0.783,0.217,0.5719
17,Our digital business grew by 42% and is now 56% of our overall revenues.,0.0,1.0,0.0,0.0
18,"Within digital, our cloud work is growing even faster, and our Cobalt cloud capabilities are resonating tremendously with our clients.",0.0,0.918,0.082,0.1779
19,"We are working with a large global company, for example, on their private cloud deployment.",0.0,1.0,0.0,0.0
20,We are working with a large bank on their public cloud expansion.,0.0,1.0,0.0,0.0
21,"We are working with several of our clients on SaaS transformations, and cloud-native developments.",0.0,1.0,0.0,0.0
22,"Some of the other highlights of our results are, - Revenues were $3.998 bn, which is a growth of 19.4% YoY and 6.3% sequentially in constant currency - Our digital business grew by 42.4% YoY and now constitutes 56.1% of our overall revenues.",0.0,0.942,0.058,0.3818
23,- We had broad-based growth across all our sectors and service lines.,0.0,0.809,0.191,0.3818
24,All our sectors reported double-digit growth.,0.0,0.658,0.342,0.3818
25,- Financial Services grew by 20.5%.,0.0,1.0,0.0,0.0
26,This is our largest sector and growing exceptionally well.,0.0,0.631,0.369,0.4754
27,"Manufacturing grew at 42.5%, Retail by 17.2%, Life Sciences by 26.1%.",0.0,1.0,0.0,0.0
28,"- In terms of geography, North America grew by 23.1%, Europe by 19.6%.",0.0,1.0,0.0,0.0
29,- Our large deals were strong at $2.15 bn.,0.0,0.708,0.292,0.5106
30,- Our onsite mix moved to 23.6% and our utilization to 89.3% - Operating margins were resilient at 23.6%.,0.0,1.0,0.0,0.0
31,- Free cash flow was strong at $712 mn.,0.0,0.515,0.485,0.765
32,- Our attrition moved up to 20.1% and we will talk a little bit more about that later in the call,0.0,1.0,0.0,0.0
33,with Pravin.,0.0,1.0,0.0,0.0
34,"- We had a net headcount increase of 11,664, attracting leading talent from the market.",0.0,0.594,0.406,0.802
35,We remain comfortable with our ability to support our clients in their digital transformation journeys.,0.0,0.591,0.409,0.8074
36,"We are rapidly expanding our global talent pool and increased our college graduates hiring to 45,000 for this year.",0.0,0.776,0.224,0.5994
37,"Last quarter, we had this number at 35,000 people.",0.0,0.853,0.147,0.0964
38,I am also delighted with our increased focus on ESG.,0.0,0.597,0.403,0.6597
39,"As many of you know, we have already been carbon-neutral since 2020.",0.0,1.0,0.0,0.0
40,Our ambition for 2030 is well articulated and we are building on the momentum to create impact.,0.0,0.781,0.219,0.4939
41,"We are accelerating our growth with the launch of Infosys Springboard, to bring digital skills to millions of students.",0.0,0.874,0.126,0.3818
42,"With a strong start to the financial year, good deal momentum in Q2, robust pipeline, we are increasing our annual revenue growth guidance which was at 14% to 16% previously, to 16.5% to 17.5% growth in constant currency.",0.0,0.705,0.295,0.9153
43,Our operating margin guidance remains the same at 22% to 24%.,0.0,1.0,0.0,0.0
44,"We have a very special moment in this quarter, which will be Pravin's last full quarter before he retires, after an incredible journey of 35 years with Infosys.",0.0,0.9,0.1,0.4576
45,Pravin's contributions to the company are innumerable.,0.0,1.0,0.0,0.0
46,"We will, and in fact, I will personally miss his tremendous depth of knowledge of the business and his contagious sense of humor.",0.153,0.766,0.08,-0.2263
47,My best wishes to Pravin in all his future plans.,0.0,0.58,0.42,0.7003
48,"We will announce our future structure in the coming weeks, well before Pravin steps down.",0.0,0.87,0.13,0.2732
49,"With that note, let me hand it to Pravin for his updates.",0.0,0.775,0.225,0.4939
50,"Pravin Rao Thank you, Salil.",0.0,0.615,0.385,0.3612
51,"Hello, everyone.",0.0,1.0,0.0,0.0
52,"Hope you and your family are doing good, safe, and healthy.",0.0,0.38,0.62,0.886
53,Growth acceleration continued in Q2 with YoY constant currency growth at 19.4%.,0.0,0.658,0.342,0.6369
54,Q2 witnessed broad-based double-digit growth across all business segments and both North America and Europe.,0.0,0.843,0.157,0.3818
55,"Operating parameters continued to improve further: - Utilization improved to a new all-time high of 89.2% - Onsite effort mix reduced further to a new low of 23.6% We won 22 large deals of over $50 mn totaling $2.2 bn TCV, 5 each in Financial Services and Energy, Utility, Resources and Services; 3 each in Retail and Manufacturing; 2 each in Communication and HiTech; and 1 each in Life Sciences and Others segments.",0.026,0.83,0.144,0.8658
56,"Region wise 15 were from Americas, 6 were from Europe, and 1 from the Rest of the World.",0.0,0.846,0.154,0.4767
57,The share of the new deals in Q2 was 37%.,0.0,0.804,0.196,0.296
58,"Client metrics improved with over $100 mn client count increasing to 35, an increase of 5 YoY.",0.0,0.735,0.265,0.6597
59,We added 117 new clients in the last quarter.,0.0,1.0,0.0,0.0
60,Voluntary last 12-months attrition increased to 20.1%.,0.0,0.741,0.259,0.2732
61,"While attrition has increased on the back of high industry growth and supply tightness, especially in the niche skill areas, we continue to fulfill client commitments through increased hiring, talent reskilling and higher usage of subcons.",0.0,0.682,0.318,0.9001
62,"We have stepped up our hiring program and have added more than 11,600 talent employees on a net basis, highest ever in a single quarter.",0.0,0.887,0.113,0.4703
63,"In H1 we on-boarded over 25,000 college graduates and for the full year, we have increased the college graduate hiring target to 45,000 globally.",0.0,0.916,0.084,0.2732
64,The vaccination drive for our employees and their dependents across locations continued unabated.,0.0,1.0,0.0,0.0
65,"Currently, over 86% Infoscions have received at least one dose of vaccine.",0.0,1.0,0.0,0.0
66,"Moving to business segments: Starting with Financial Services, I am happy to share that in the last quarter, Infosys was ranked #1 by HFS in the Banking and Financial Services Providers' top 10, 2021.",0.0,0.801,0.199,0.7717
67,As you are aware our YoY growth was over 20% on constant currency basis this quarter and this industry-leading growth has sustained over the past several quarters.,0.0,0.828,0.172,0.6369
68,We are seeing strong demand and momentum across all regions.,0.117,0.625,0.258,0.4215
69,"North America, however, continues to lead growth as we execute on large transformation programs and win market share.",0.0,0.636,0.364,0.8225
70,"Banks are increasingly focusing on virtual branches, improved customer experience through AI and analytics, and digital transformation led cost take out agenda.",0.0,0.871,0.129,0.4767
71,"Our focused investments in building strong sub-vertical and platforms capabilities in regional banking, retirement services, mortgages, asset management, and payments are working as a differentiator in winning large deals and digital transformation programs.",0.0,0.711,0.289,0.8957
